name,owner,url,totalPullRequests,closed,merged,processado
tech-interview-for-developer,gyoogle,https://github.com/gyoogle/tech-interview-for-developer,128,7,120,False
JiaoZiVideoPlayer,lipangit,https://github.com/lipangit/JiaoZiVideoPlayer,72,24,41,False
RxPermissions,tbruyelle,https://github.com/tbruyelle/RxPermissions,77,30,37,False
algorithm-base,chefyuan,https://github.com/chefyuan/algorithm-base,29,3,24,False
platform_frameworks_base,aosp-mirror,https://github.com/aosp-mirror/platform_frameworks_base,126,120,1,False
dolphinscheduler,apache,https://github.com/apache/dolphinscheduler,7115,1217,5762,False
MVPArms,JessYanCoding,https://github.com/JessYanCoding/MVPArms,72,39,33,False
yudao-cloud,YunaiV,https://github.com/YunaiV/yudao-cloud,35,28,7,False
SmartTubeNext,yuliskov,https://github.com/yuliskov/SmartTubeNext,805,88,714,False
javapoet,square,https://github.com/square/javapoet,547,149,344,False
ViewPagerIndicator,JakeWharton,https://github.com/JakeWharton/ViewPagerIndicator,149,50,21,False
mall-swarm,macrozheng,https://github.com/macrozheng/mall-swarm,23,15,0,False
jsoup,jhy,https://github.com/jhy/jsoup,560,292,220,False
cas,apereo,https://github.com/apereo/cas,4304,771,3531,False
auto,google,https://github.com/google/auto,1022,506,502,False
clojure,clojure,https://github.com/clojure/clojure,91,90,1,False
